Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Berczy Park,Coffee Shop,Hotel,Café,Seafood Restaurant,Bakery,Japanese Restaurant,Restaurant,Beer Bar,Cocktail Bar,Sporting Goods Shop
"Brockton, Parkdale Village, Exhibition Place",Coffee Shop,Café,Breakfast Spot,Thrift / Vintage Store,Gift Shop,Diner,Pizza Place,Pet Store,Mexican Restaurant,Liquor Store
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",Coffee Shop,Restaurant,Italian Restaurant,Yoga Studio,Martial Arts School,Japanese Restaurant,Sushi Restaurant,Bank,Bookstore,Salad Place
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",Coffee Shop,Italian Restaurant,Gym / Fitness Center,Café,Bar,Speakeasy,Restaurant,Park,French Restaurant,Bakery
Central Bay Street,Coffee Shop,Restaurant,Middle Eastern Restaurant,Pizza Place,Italian Restaurant,Bubble Tea Shop,Sandwich Place,Clothing Store,Café,Juice Bar
Christie,Café,Grocery Store,Playground,Candy Store,Park,Athletics & Sports,Baby Store,Coffee Shop,Electronics Store,Fish Market
Church and Wellesley,Japanese Restaurant,Coffee Shop,Sushi Restaurant,Gay Bar,Fast Food Restaurant,Restaurant,Hotel,Mediterranean Restaurant,Men's Store,Café
"Commerce Court, Victoria Hotel",Coffee Shop,Hotel,Café,Restaurant,Gym,American Restaurant,Seafood Restaurant,Salad Place,Asian Restaurant,Steakhouse
Davisville,Café,Coffee Shop,Italian Restaurant,Dessert Shop,Sandwich Place,Restaurant,Gas Station,Fast Food Restaurant,Thai Restaurant,Indian Restaurant
Davisville North,Bus Line,Department Store,Breakfast Spot,Park,Food & Drink Shop,Gym / Fitness Center,Dog Run,Yoga Studio,Ethiopian Restaurant,Flower Shop
"Dufferin, Dovercourt Village",Bakery,Park,Furniture / Home Store,Bus Line,Café,Smoke Shop,Middle Eastern Restaurant,Brazilian Restaurant,Pool,Pizza Place
"First Canadian Place, Underground city",Coffee Shop,Hotel,Café,Restaurant,Gym,American Restaurant,Seafood Restaurant,Salad Place,Asian Restaurant,Steakhouse
"Forest Hill North & West, Forest Hill Road Park",Home Service,Park,Trail,Electronics Store,Dumpling Restaurant,Flower Shop,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market
"Garden District, Ryerson",Coffee Shop,Clothing Store,Japanese Restaurant,Hotel,Cosmetics Shop,Café,Middle Eastern Restaurant,Movie Theater,Theater,Ramen Restaurant
"Harbourfront East, Union Station, Toronto Islands",Music Venue,Harbor / Marina,Café,Park,Yoga Studio,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
"High Park, The Junction South",Park,Yoga Studio,Eastern European Restaurant,Food & Drink Shop,Flower Shop,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
"India Bazaar, The Beaches West",Fast Food Restaurant,Park,Sandwich Place,Restaurant,Movie Theater,Fish & Chips Shop,Liquor Store,Brewery,Steakhouse,Coffee Shop
"Kensington Market, Chinatown, Grange Park",Café,Vegetarian / Vegan Restaurant,Coffee Shop,Mexican Restaurant,Gaming Cafe,Vietnamese Restaurant,Caribbean Restaurant,Grocery Store,Farmers Market,Dessert Shop
Lawrence Park,Photography Studio,Park,Lawyer,Yoga Studio,Eastern European Restaurant,Flower Shop,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market
"Little Portugal, Trinity",Bar,Bakery,Restaurant,Cocktail Bar,Vegetarian / Vegan Restaurant,Coffee Shop,Asian Restaurant,Yoga Studio,Seafood Restaurant,Café
"Moore Park, Summerhill East",Park,Playground,Thai Restaurant,Gym,Grocery Store,Trail,Yoga Studio,Event Space,Eastern European Restaurant,Electronics Store
"North Toronto West, Lawrence Park",Playground,Gym Pool,Park,Garden,Dumpling Restaurant,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
"Parkdale, Roncesvalles",Coffee Shop,Eastern European Restaurant,Sushi Restaurant,Gift Shop,American Restaurant,Bookstore,Bakery,Breakfast Spot,Café,Food & Drink Shop
"Queen's Park, Ontario Provincial Government",Sushi Restaurant,Coffee Shop,Japanese Restaurant,Bubble Tea Shop,Café,Martial Arts School,Fast Food Restaurant,Mexican Restaurant,Ethiopian Restaurant,Creperie
"Regent Park, Harbourfront",Coffee Shop,Breakfast Spot,Yoga Studio,Theater,Distribution Center,Pub,Restaurant,Electronics Store,Event Space,Food Truck
"Richmond, Adelaide, King",Café,Coffee Shop,Gym,Restaurant,Hotel,Asian Restaurant,Thai Restaurant,Steakhouse,Salad Place,American Restaurant
Rosedale,Playground,Candy Store,Park,Grocery Store,Dumpling Restaurant,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
Roselawn,Spa,Yoga Studio,Eastern European Restaurant,Food & Drink Shop,Flower Shop,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
"Runnymede, Swansea",Café,Pizza Place,Coffee Shop,Bank,Sushi Restaurant,Electronics Store,Pub,Falafel Restaurant,Italian Restaurant,Restaurant
St. James Town,Café,Coffee Shop,Seafood Restaurant,Italian Restaurant,Gastropub,Bakery,Cocktail Bar,Hotel,American Restaurant,Lingerie Store
"St. James Town, Cabbagetown",Café,Restaurant,Coffee Shop,Pet Store,Pizza Place,Italian Restaurant,Bakery,Playground,Plaza,Market
Stn A PO Boxes,Coffee Shop,Restaurant,Hotel,Gym,Café,Sporting Goods Shop,Deli / Bodega,Italian Restaurant,Japanese Restaurant,Hotel Bar
Studio District,Baseball Field,Coffee Shop,Coworking Space,Park,Diner,Gym,Garden Center,Flower Shop,Fish Market,Fish & Chips Shop
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Coffee Shop,Light Rail Station,Liquor Store,Supermarket,Electronics Store,Food & Drink Shop,Flower Shop,Fish Market,Fish & Chips Shop,Fast Food Restaurant
"The Annex, North Midtown, Yorkville",Café,Coffee Shop,Sandwich Place,Park,Furniture / Home Store,Pub,Italian Restaurant,French Restaurant,Donut Shop,Indian Restaurant
The Beaches,Pub,Health Food Store,Trail,Bakery,Gastropub,Yoga Studio,Dumpling Restaurant,Fish Market,Fish & Chips Shop,Fast Food Restaurant
"The Danforth West, Riverdale",Greek Restaurant,Ice Cream Shop,Restaurant,Coffee Shop,Italian Restaurant,Café,Bubble Tea Shop,Juice Bar,Fruit & Vegetable Store,Brewery
"Toronto Dominion Centre, Design Exchange",Coffee Shop,Hotel,Café,American Restaurant,Japanese Restaurant,Seafood Restaurant,Salad Place,Restaurant,Sporting Goods Shop,Beer Bar
"University of Toronto, Harbord",Café,Bookstore,Japanese Restaurant,Bakery,Yoga Studio,Beer Bar,Noodle House,Comfort Food Restaurant,Pub,College Gym
